tic,conm_x,Last Price,YTD Ret,1-mth Ret,3-mth Ret,12-mth Ret,BothSP-NASDAQ,SP500,Ticker,gvkey,datadate,fyear,cusip,conm_y,fyr,exchg,cik,fic,addzip,city,gsubind,naics,sic,state,PERMNO,date,NCUSIP,COMNAM,PERMCO,CUSIP
ACRS,Aclaris Therapts,1.1,-0.418,-0.0435,-0.4022,-0.8257,0,0, ACRS,25904,20191231,2019,00461U105,ACLARIS THERAPEUTICS INC,12,14,1557746,USA,19087,Wayne,35202010,325412,2834,PA,15775,20191231,00461U10,ACLARIS THERAPEUTICS INC,55452,00461U10
ACRX,Acelrx Pharmaceutica,1.05,-0.5024,-0.1985,-0.4853,-0.6948,0,0, ACRX,,,,,,,,,,,,,,,,12573,20191231,00444T10,ACELRX PHARMACEUTICALS INC,53673,00444T10
ADBE,Adobe Systems Inc,293.61,-0.1098,-0.1571,-0.1151,0.0814,1,1, ADBE,12540,20191130,2019,00724F101,ADOBE INC,11,14,796343,USA,95110,San Jose,45103010,518210,7370,CA,75510,20191231,00724F10,ADOBE INC,8476,00724F10
ADI,Analog Devices,86.56,-0.2716,-0.1925,-0.2684,-0.2119,1,1, ADI,1632,20191031,2019,32654105,ANALOG DEVICES,10,14,6281,USA,2062,Norwood,45301020,334413,3674,MA,60871,20191231,3265410,ANALOG DEVICES INC,282,3265410
ADM,Archer Daniels Midland,34.65,-0.2524,-0.0896,-0.2471,-0.1793,0,1, ADM,1722,20191231,2019,39483102,ARCHER-DANIELS-MIDLAND CO,12,11,7084,USA,60601,Chicago,30202010,31122,2070,IL,10516,20191231,3948310,ARCHER DANIELS MIDLAND CO,20207,3948310
ADMA,Adma Biologics,3.09,-0.2275,0.03,-0.1782,-0.3965,0,0, ADMA,,,,,,,,,,,,,,,,15056,20191231,89910,ADMA BIOLOGICS INC,55102,89910
ADMP,Adamis Pharmaceuticl,0.34,-0.5146,-0.3704,-0.5935,-0.835,0,0, ADMP,,,,,,,,,,,,,,,,82163,20191231,00547W20,ADAMIS PHARMACEUTICALS CORP,13934,00547W20
ADP,Automatic Data Procs,128.57,-0.2459,-0.1718,-0.2435,-0.2019,1,1, ADP,1891,20190630,2019,53015103,AUTOMATIC DATA PROCESSING,6,14,8670,USA,7068,Roseland,45102020,518210,7374,NJ,44644,20191231,5301510,AUTOMATIC DATA PROCESSING INC,20235,5301510
ADPT,Adaptive Biotechnologies Corp,25.72,-0.1404,0,-0.1369,-0.4675,0,0, ADPT,35279,20191231,2019,00650F109,ADAPTIVE BIOTECH CORP,12,14,1478320,USA,98102,Seattle,35203010,325413,2835,WA,18769,20191231,00650F10,ADAPTIVE BIOTECHNOLOGIES CORP,56786,00650F10
ADRO,Aduro Biotech,2.54,1.1525,-0.1645,1.0992,-0.3759,0,0, ADRO,23335,20191231,2019,00739L101,ADURO BIOTECH INC,12,14,1435049,USA,94710,Berkeley,35201010,325414,2836,CA,15282,20191231,00739L10,ADURO BIOTECH INC,55222,00739L10
ADS,Alliance Data Systems Corp,26.49,-0.7639,-0.6675,-0.76,-0.8524,0,1, ADS,143974,20191231,2019,18581108,ALLIANCE DATA SYSTEMS CORP,12,11,1101215,USA,43219,Columbus,45102020,518210,7374,OH,89002,20191231,1858110,ALLIANCE DATA SYSTEMS CORP,41671,1858110
ADSK,Autodesk Inc,139,-0.2423,-0.2301,-0.2484,-0.1659,1,1, ADSK,1878,20190131,2018,52769106,AUTODESK INC,1,14,769397,USA,94903,San Rafael,45103010,519130,7370,CA,85631,20191231,5276910,AUTODESK INC,7623,5276910
ADUS,Addus Homecare Corp,71.53,-0.2642,-0.0715,-0.2517,0.1187,0,0, ADUS,,,,,,,,,,,,,,,,93073,20191231,673910,ADDUS HOMECARE CORP,53242,673910
AEE,Ameren Corp,68.75,-0.1048,-0.1733,-0.0963,-0.0483,0,1, AEE,10860,20191231,2019,23608102,AMEREN CORP,12,11,1002910,USA,63103,St. Louis,55103010,2211,4931,MO,24985,20191231,2360810,AMEREN CORP,21808,2360810
AEGN,Aegion Corp,14.92,-0.333,-0.1771,-0.3321,-0.1752,0,0, AEGN,5978,20191231,2019,00770F104,AEGION CORP,12,14,353020,USA,63005-1195,St. Louis,20103010,237110,1623,MO,44274,20191231,00770F10,AEGION CORP,2366,00770F10
AEIS,Advanced Energy,43.07,-0.3951,-0.2776,-0.398,-0.1804,0,0, AEIS,61562,20191231,2019,7973100,ADVANCED ENERGY INDS INC,12,14,927003,USA,80202,Denver,45301010,334418,3679,CO,82547,20191231,797310,ADVANCED ENERGY INDUSTRIES INC,14143,797310
AEP,American Electric Power Company,72.5,-0.2329,-0.2404,-0.2234,-0.1256,0,1, AEP,1440,20191231,2019,25537101,AMERICAN ELECTRIC POWER CO,12,11,4904,USA,43215-2373,Columbus,55101010,2211,4911,OH,24109,20191231,2553710,AMERICAN ELECTRIC POWER CO INC,20077,2553710
AERI,Aerie Pharmaceuticals,12.17,-0.4965,-0.2845,-0.4896,-0.7474,0,0, AERI,18749,20191231,2019,00771V108,AERIE PHARMACEUTICALS INC,12,14,1337553,USA,27703,Durham,35202010,325414,2836,NC,14238,20191231,00771V10,AERIE PHARMACEUTICALS INC,54601,00771V10
AES,The Aes Corp,12.24,-0.3849,-0.2978,-0.3818,-0.3223,0,1, AES,24216,20191231,2019,00130H105,AES CORP (THE),12,11,874761,USA,22203,Arlington,55105010,22111,4991,VA,76712,20191231,00130H10,A E S CORP,10996,00130H10
AFIN,American Finance Trust Inc Cl A,4.98,-0.6244,-0.535,-0.6103,-0.5354,0,0, AFIN,31914,20191231,2019,02607T109,AMERICAN FINANCE TRUST INC,12,14,1568162,USA,10019,New York,60101070,531120,6798,NY,17952,20191231,02607T10,AMERICAN FINANCE TRUST INC,56447,02607T10
AFL,Aflac Incorporated,32.41,-0.3873,-0.252,-0.3883,-0.3353,0,1, AFL,1449,20191231,2019,1055102,AFLAC INC,12,11,4977,USA,31999,Columbus,40301020,524114,6321,GA,57904,20191231,105510,AFLAC INC,92,105510
AFYA,Afya Ltd Cl A,18.1,-0.3326,-0.2797,-0.3382,-0.2487,0,0, AFYA,,,,,,,,,,,,,,,,18829,20191231,G0112510,AFYA LTD,56821,G0112510
